voxel_id,vx,vy,vz,group,base_label,final_label,relabel_mode,relabel_score,junction_score,junction_neighbor_count,junction_cluster_count,junction_orientation_dispersion,junction_dominant_fraction,occupancy_asymmetry,normal_variation,opposite_face_pair_ratio,planar_context_penalty,corner_context_bonus,baseline_in_top_k,baseline_rank,hard_in_top_k,hard_rank,scored_in_top_k,scored_rank,voxel_pcd_path,neighborhood_pcd_path
-3_9_-1,-3,9,-1,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.960771,0.764312,24,3,0.620462,0.280497,0.666667,0.443198,0.000000,0.052844,1.731650,true,34,true,5,true,5,groups/shared_relabeled/voxels/-3_9_-1/voxel.pcd,groups/shared_relabeled/voxels/-3_9_-1/neighborhood_radius2.pcd
-6_-1_5,-6,-1,5,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.845846,0.794134,14,4,0.499198,0.276191,0.400000,0.682990,0.333333,0.062489,1.628703,true,93,true,24,true,20,groups/shared_relabeled/voxels/-6_-1_5/voxel.pcd,groups/shared_relabeled/voxels/-6_-1_5/neighborhood_radius2.pcd
-3_9_0,-3,9,0,shared_relabeled,planar,junction_like_mixed,hard_threshold+scored,0.839793,0.762916,29,3,0.618747,0.278003,0.354839,0.259116,0.333333,0.226653,1.006796,false,,false,,true,189,groups/shared_relabeled/voxels/-3_9_0/voxel.pcd,groups/shared_relabeled/voxels/-3_9_0/neighborhood_radius2.pcd
6_2_2,6,2,2,scored_only_relabeled,planar,junction_like_mixed,scored,0.787723,0.694646,34,3,0.444204,0.391455,1.000000,0.487507,0.000000,0.074281,2.158134,true,8,true,3,true,1,groups/scored_only_relabeled/voxels/6_2_2/voxel.pcd,groups/scored_only_relabeled/voxels/6_2_2/neighborhood_radius2.pcd
1_6_4,1,6,4,scored_only_relabeled,planar,junction_like_mixed,scored,0.763856,0.740347,27,3,0.423353,0.277831,0.549020,0.402868,0.333333,0.152428,1.414460,true,25,true,18,true,4,groups/scored_only_relabeled/voxels/1_6_4/voxel.pcd,groups/scored_only_relabeled/voxels/1_6_4/neighborhood_radius2.pcd
-1_9_-1,-1,9,-1,scored_only_relabeled,planar,junction_like_mixed,scored,0.871988,0.708932,33,3,0.601274,0.343462,0.914286,0.484331,0.333333,0.128054,1.926227,true,31,true,20,true,6,groups/scored_only_relabeled/voxels/-1_9_-1/voxel.pcd,groups/scored_only_relabeled/voxels/-1_9_-1/neighborhood_radius2.pcd
-1_8_-2,-1,8,-2,scored_only_relabeled,planar,junction_like_mixed,scored,0.759804,0.666374,31,3,0.619511,0.390550,0.859155,0.255113,0.333333,0.304367,1.556139,false,,false,,false,,groups/scored_only_relabeled/voxels/-1_8_-2/voxel.pcd,groups/scored_only_relabeled/voxels/-1_8_-2/neighborhood_radius2.pcd
2_5_6,2,5,6,scored_only_relabeled,planar,junction_like_mixed,scored,0.726786,0.674299,19,3,0.447420,0.390487,0.666667,0.410460,0.000000,0.059310,1.687454,false,,false,,false,,groups/scored_only_relabeled/voxels/2_5_6/voxel.pcd,groups/scored_only_relabeled/voxels/2_5_6/neighborhood_radius2.pcd
2_6_4,2,6,4,scored_only_relabeled,planar,junction_like_mixed,scored,0.664346,0.620815,37,3,0.391489,0.366979,1.000000,0.469962,0.000000,0.074168,2.134448,false,,false,,false,,groups/scored_only_relabeled/voxels/2_6_4/voxel.pcd,groups/scored_only_relabeled/voxels/2_6_4/neighborhood_radius2.pcd
7_1_2,7,1,2,scored_only_relabeled,planar,junction_like_mixed,scored,0.734570,0.679875,27,3,0.421857,0.337284,0.666667,0.447666,0.000000,0.066938,1.737683,false,,false,,false,,groups/scored_only_relabeled/voxels/7_1_2/voxel.pcd,groups/scored_only_relabeled/voxels/7_1_2/neighborhood_radius2.pcd
